TIME_PERIOD,variable,value,Country,Frequency
2022-03-01,PCPI_IX,124.4,KW,M
2022-04-01,PCPI_IX,124.6,KW,M
2022-05-01,PCPI_IX,124.8,KW,M
2022-06-01,PCPI_IX,125.3,KW,M
2022-07-01,PCPI_IX,125.4,KW,M
2022-08-01,PCPI_IX,125.5,KW,M
2022-09-01,PCPI_IX,126,KW,M
2022-10-01,PCPI_IX,126.4,KW,M
2022-11-01,PCPI_IX,126.7,KW,M
2022-12-01,PCPI_IX,127.6,KW,M
2023-01-01,PCPI_IX,127.9,KW,M
2023-02-01,PCPI_IX,128.1,KW,M
2023-03-01,PCPI_IX,129,KW,M
2023-04-01,PCPI_IX,129.2,KW,M
2023-05-01,PCPI_IX,129.4,KW,M
2023-06-01,PCPI_IX,130.1,KW,M
2023-07-01,PCPI_IX,130.1,KW,M
2023-08-01,PCPI_IX,130.3,KW,M
2023-09-01,PCPI_IX,130.7,KW,M
2023-10-01,PCPI_IX,131.2,KW,M
2023-11-01,PCPI_IX,131.5,KW,M
2023-12-01,PCPI_IX,131.9,KW,M
2015-01-01,PCPI_IX,90.432908313118,GA,M
2015-02-01,PCPI_IX,89.5016471953652,GA,M
2015-03-01,PCPI_IX,89.7053884423877,GA,M
2015-04-01,PCPI_IX,89.9111280817978,GA,M
2015-05-01,PCPI_IX,89.9569547072753,GA,M
2015-06-01,PCPI_IX,89.6388293132304,GA,M
2015-07-01,PCPI_IX,89.2543600058427,GA,M
2015-08-01,PCPI_IX,89.2543600058427,GA,M
2015-09-01,PCPI_IX,88.9219400209832,GA,M
2015-10-01,PCPI_IX,89.0308475899439,GA,M
2015-11-01,PCPI_IX,89.5656418041574,GA,M
2015-12-01,PCPI_IX,89.5155664064888,GA,M
2016-01-01,PCPI_IX,89.5452972654776,GA,M
2016-02-01,PCPI_IX,90.4670857937922,GA,M
2016-03-01,PCPI_IX,90.5810196117416,GA,M
2016-04-01,PCPI_IX,90.7971306707023,GA,M
2016-05-01,PCPI_IX,90.679479264972,GA,M
2016-06-01,PCPI_IX,90.8176970342416,GA,M
2016-07-01,PCPI_IX,90.9846992332023,GA,M
2016-08-01,PCPI_IX,91.4813395012641,GA,M
2016-09-01,PCPI_IX,91.9238485976405,GA,M
2016-10-01,PCPI_IX,93.6090318769663,GA,M
2016-11-01,PCPI_IX,93.3114270050001,GA,M
2016-12-01,PCPI_IX,93.1320778445225,GA,M
2017-01-01,PCPI_IX,93.0289981173315,GA,M
2017-02-01,PCPI_IX,93.2297191011236,GA,M
2017-03-01,PCPI_IX,93.1594101123596,GA,M
2017-04-01,PCPI_IX,94.0734269662922,GA,M
2017-05-01,PCPI_IX,93.792191011236,GA,M
2017-06-01,PCPI_IX,94.0031179775281,GA,M
2017-07-01,PCPI_IX,94.0734269662922,GA,M
2017-08-01,PCPI_IX,94.2140449438203,GA,M
2017-09-01,PCPI_IX,94.4952808988764,GA,M
2017-10-01,PCPI_IX,94.1437359550562,GA,M
2017-11-01,PCPI_IX,94.0734269662922,GA,M
2017-12-01,PCPI_IX,94.1437359550562,GA,M
2018-01-01,PCPI_IX,94.6358988764045,GA,M
2018-02-01,PCPI_IX,96.0420786516854,GA,M
2018-03-01,PCPI_IX,96.3233146067416,GA,M
2018-04-01,PCPI_IX,97.3779494382023,GA,M
2018-05-01,PCPI_IX,98.0107303370787,GA,M
2018-06-01,PCPI_IX,99.0653651685394,GA,M
2018-07-01,PCPI_IX,99.2762921348315,GA,M
2018-08-01,PCPI_IX,99.4169101123596,GA,M
2018-09-01,PCPI_IX,99.2762921348315,GA,M
2018-10-01,PCPI_IX,100.12,GA,M
2018-11-01,PCPI_IX,100.330926966292,GA,M
2018-12-01,PCPI_IX,100.049691011236,GA,M
2019-01-01,PCPI_IX,100.12366476986,GA,M
2019-02-01,PCPI_IX,100.07508358328,GA,M
2019-03-01,PCPI_IX,100.27792334439,GA,M
2019-04-01,PCPI_IX,100.43349565771,GA,M
2019-05-01,PCPI_IX,101.04929971303,GA,M
2019-06-01,PCPI_IX,101.5191337645,GA,M
2019-07-01,PCPI_IX,101.1887554526,GA,M
2019-08-01,PCPI_IX,100.93119966696,GA,M
2019-09-01,PCPI_IX,100.83180777547,GA,M
2019-10-01,PCPI_IX,100.76469761422,GA,M
2019-11-01,PCPI_IX,100.70501011864,GA,M
2019-12-01,PCPI_IX,101.10543785442,GA,M
2020-01-01,PCPI_IX,101.04411575632,GA,M
2020-02-01,PCPI_IX,101.15198389524,GA,M
2020-03-01,PCPI_IX,100.96242736149,GA,M
2020-04-01,PCPI_IX,101.46145138155,GA,M
2020-05-01,PCPI_IX,102.02413788559,GA,M
2020-06-01,PCPI_IX,102.32432269321,GA,M
2020-07-01,PCPI_IX,102.74796531377,GA,M
2020-08-01,PCPI_IX,102.67232695027,GA,M
2020-09-01,PCPI_IX,102.8284286445,GA,M
2020-10-01,PCPI_IX,102.70419316514,GA,M
2020-11-01,PCPI_IX,102.72271303463,GA,M
2020-12-01,PCPI_IX,102.71639954189,GA,M
2021-01-01,PCPI_IX,102.6,GA,M
2021-02-01,PCPI_IX,102.756,GA,M
2021-03-01,PCPI_IX,102.716,GA,M
2021-04-01,PCPI_IX,102.774,GA,M
2021-05-01,PCPI_IX,102.972,GA,M
2021-06-01,PCPI_IX,102.958,GA,M
2021-07-01,PCPI_IX,103.49,GA,M
2021-08-01,PCPI_IX,103.184,GA,M
2021-09-01,PCPI_IX,103.42,GA,M
2021-10-01,PCPI_IX,103.46,GA,M
2021-11-01,PCPI_IX,103.989,GA,M
2021-12-01,PCPI_IX,104.36,GA,M
2022-01-01,PCPI_IX,104.548,GA,M
2022-02-01,PCPI_IX,105.216,GA,M
2022-03-01,PCPI_IX,105.7,GA,M
2022-04-01,PCPI_IX,105.84,GA,M
2022-05-01,PCPI_IX,106.35,GA,M
2022-06-01,PCPI_IX,107.38,GA,M
2022-07-01,PCPI_IX,108.41,GA,M
2022-08-01,PCPI_IX,109.04,GA,M
2022-09-01,PCPI_IX,109.4,GA,M
2022-10-01,PCPI_IX,109.416580200195,GA,M
2022-11-01,PCPI_IX,109.77,GA,M
2022-12-01,PCPI_IX,110.02,GA,M
2023-01-01,PCPI_IX,109.955465793609,GA,M
2023-02-01,PCPI_IX,110.192501544952,GA,M
2023-03-01,PCPI_IX,110.474801063537,GA,M
2023-04-01,PCPI_IX,110.757148265838,GA,M
2023-05-01,PCPI_IX,111.264538764953,GA,M
2023-06-01,PCPI_IX,111.6,GA,M
2023-07-01,PCPI_IX,111.9,GA,M
2023-08-01,PCPI_IX,112.2,GA,M
2023-09-01,PCPI_IX,112.4,GA,M
2023-10-01,PCPI_IX,112.4,GA,M
2023-11-01,PCPI_IX,112.3,GA,M
2023-12-01,PCPI_IX,112.5,GA,M
2015-01-01,PCPI_IX,98.19,LU,M
2015-02-01,PCPI_IX,99.84,LU,M
2015-03-01,PCPI_IX,99.98,LU,M
2015-04-01,PCPI_IX,100.03,LU,M
2015-05-01,PCPI_IX,100.45,LU,M
2015-06-01,PCPI_IX,100.64,LU,M
2015-07-01,PCPI_IX,99.58,LU,M
2015-08-01,PCPI_IX,100.54,LU,M
2015-09-01,PCPI_IX,100.38,LU,M
2015-10-01,PCPI_IX,100.2,LU,M
2015-11-01,PCPI_IX,100.26,LU,M
2015-12-01,PCPI_IX,99.91,LU,M
2016-01-01,PCPI_IX,98.71,LU,M
2016-02-01,PCPI_IX,100.01,LU,M
2016-03-01,PCPI_IX,100.03,LU,M
2016-04-01,PCPI_IX,100.1,LU,M
2016-05-01,PCPI_IX,100.42,LU,M
2016-06-01,PCPI_IX,100.66,LU,M
2016-07-01,PCPI_IX,99.55,LU,M
2016-08-01,PCPI_IX,100.7,LU,M
2016-09-01,PCPI_IX,100.75,LU,M
2016-10-01,PCPI_IX,100.72,LU,M
2016-11-01,PCPI_IX,100.8,LU,M
2016-12-01,PCPI_IX,101.04,LU,M
2017-01-01,PCPI_IX,100.39,LU,M
2017-02-01,PCPI_IX,101.77,LU,M
2017-03-01,PCPI_IX,101.78,LU,M
2017-04-01,PCPI_IX,102.04,LU,M
2017-05-01,PCPI_IX,102.12,LU,M
2017-06-01,PCPI_IX,102.17,LU,M
2017-07-01,PCPI_IX,101.46,LU,M
2017-08-01,PCPI_IX,102.68,LU,M
2017-09-01,PCPI_IX,102.52,LU,M
2017-10-01,PCPI_IX,102.63,LU,M
2017-11-01,PCPI_IX,102.35,LU,M
2017-12-01,PCPI_IX,102.41,LU,M
2018-01-01,PCPI_IX,101.53,LU,M
2018-02-01,PCPI_IX,102.81,LU,M
2018-03-01,PCPI_IX,102.9,LU,M
2018-04-01,PCPI_IX,103.13,LU,M
2018-05-01,PCPI_IX,103.48,LU,M
2018-06-01,PCPI_IX,103.65,LU,M
2018-07-01,PCPI_IX,102.94,LU,M
2018-08-01,PCPI_IX,104.34,LU,M
2018-09-01,PCPI_IX,104.58,LU,M
2018-10-01,PCPI_IX,104.69,LU,M
2018-11-01,PCPI_IX,104.66,LU,M
2018-12-01,PCPI_IX,104.32,LU,M
2019-01-01,PCPI_IX,103.4,LU,M
2019-02-01,PCPI_IX,104.97,LU,M
2019-03-01,PCPI_IX,105.14,LU,M
2019-04-01,PCPI_IX,105.33,LU,M
2019-05-01,PCPI_IX,105.62,LU,M
2019-06-01,PCPI_IX,105.55,LU,M
2019-07-01,PCPI_IX,104.83,LU,M
2019-08-01,PCPI_IX,106.06,LU,M
2019-09-01,PCPI_IX,105.9,LU,M
2019-10-01,PCPI_IX,105.89,LU,M
2019-11-01,PCPI_IX,105.93,LU,M
2019-12-01,PCPI_IX,106.08,LU,M
2020-01-01,PCPI_IX,105.4,LU,M
2020-02-01,PCPI_IX,106.73,LU,M
2020-03-01,PCPI_IX,106.04,LU,M
2020-04-01,PCPI_IX,105.98,LU,M
2020-05-01,PCPI_IX,105.82,LU,M
2020-06-01,PCPI_IX,106.34,LU,M
2020-07-01,PCPI_IX,105.82,LU,M
2020-08-01,PCPI_IX,106.69,LU,M
